date,security,price
2023-02-15,3bb7355a-efe6-440e-84be-eee7cac73ba2,704
2023-02-15,afc803dc-c919-4bb1-b35d-d506f460cfe4,1163
2023-02-16,5b70a7f4-1978-4e1f-820f-5684230521cc,1007
2023-02-16,3bb7355a-efe6-440e-84be-eee7cac73ba2,706
2023-02-16,afc803dc-c919-4bb1-b35d-d506f460cfe4,1167
2023-02-17,5b70a7f4-1978-4e1f-820f-5684230521cc,1007
2023-02-17,3bb7355a-efe6-440e-84be-eee7cac73ba2,706
2023-02-17,afc803dc-c919-4bb1-b35d-d506f460cfe4,1167
2023-02-18,5b70a7f4-1978-4e1f-820f-5684230521cc,1010
2023-02-18,3bb7355a-efe6-440e-84be-eee7cac73ba2,708
2023-02-18,afc803dc-c919-4bb1-b35d-d506f460cfe4,1170
2023-02-19,5b70a7f4-1978-4e1f-820f-5684230521cc,1010
2023-02-19,3bb7355a-efe6-440e-84be-eee7cac73ba2,708
2023-02-19,afc803dc-c919-4bb1-b35d-d506f460cfe4,1170
2023-02-20,5b70a7f4-1978-4e1f-820f-5684230521cc,1014
2023-02-20,3bb7355a-efe6-440e-84be-eee7cac73ba2,711
2023-02-20,afc803dc-c919-4bb1-b35d-d506f460cfe4,1175
2023-02-21,5b70a7f4-1978-4e1f-820f-5684230521cc,1020
2023-02-21,3bb7355a-efe6-440e-84be-eee7cac73ba2,715
2023-02-21,afc803dc-c919-4bb1-b35d-d506f460cfe4,1182
2023-02-22,5b70a7f4-1978-4e1f-820f-5684230521cc,1027
2023-02-22,3bb7355a-efe6-440e-84be-eee7cac73ba2,720
2023-02-22,afc803dc-c919-4bb1-b35d-d506f460cfe4,1190
2023-02-23,5b70a7f4-1978-4e1f-820f-5684230521cc,1020
2023-02-23,3bb7355a-efe6-440e-84be-eee7cac73ba2,715
2023-02-23,afc803dc-c919-4bb1-b35d-d506f460cfe4,1182
2023-02-24,5b70a7f4-1978-4e1f-820f-5684230521cc,1020
2023-02-24,3bb7355a-efe6-440e-84be-eee7cac73ba2,715
2023-02-24,afc803dc-c919-4bb1-b35d-d506f460cfe4,1182
2023-02-25,5b70a7f4-1978-4e1f-820f-5684230521cc,1025
2023-02-25,3bb7355a-efe6-440e-84be-eee7cac73ba2,719
2023-02-25,afc803dc-c919-4bb1-b35d-d506f460cfe4,1188
2023-02-26,5b70a7f4-1978-4e1f-820f-5684230521cc,1015
2023-02-26,3bb7355a-efe6-440e-84be-eee7cac73ba2,712
2023-02-26,afc803dc-c919-4bb1-b35d-d506f460cfe4,1176
2023-02-27,5b70a7f4-1978-4e1f-820f-5684230521cc,1015
2023-02-27,3bb7355a-efe6-440e-84be-eee7cac73ba2,712
2023-02-27,afc803dc-c919-4bb1-b35d-d506f460cfe4,1176
2023-02-28,5b70a7f4-1978-4e1f-820f-5684230521cc,1018
2023-02-28,3bb7355a-efe6-440e-84be-eee7cac73ba2,714
2023-02-28,afc803dc-c919-4bb1-b35d-d506f460cfe4,1179
2023-03-01,5b70a7f4-1978-4e1f-820f-5684230521cc,1027
